id,nombre,descripcion,simbologia,
1,Inscripción y pago de programas de posgrado, Período de inscripción y pago de colegiatura de los programas de posgrado,./public/simbologia/1.webp,
2, Período vacacional de la UASLP, Período vacacional de la UASLP,./public/simbologia/2.webp,
3,Reunión de inicio de semestre con Profesores de la facultad,Reunión de inicio del semestre con Profesores de la Facultad.,./public/simbologia/3.webp,
4,Aplicación del examen general de conocimientos como opción de titulación,Aplicación del examen general de conocimientos como opción de titulación,./public/simbologia/4.webp,
5,1er reunión de información alumnos de nuevo ingreso,1er reunión de información: Autoridades de la Facultad de Ingeniería con Padres de familia y Alumnos de primer ingreso.,./public/simbologia/5.webp,
6,Inicio de clases del semetre,Inicio de clases del semestre,./public/simbologia/6.webp,
7,Periodo de bajas de materias del Departamento Físico Matemáticas, Período de bajas de materias del Departamento Fisico Matematico,./public/simbologia/7.webp,
8,Reunión del Consejo de Posgrado de la Facultad de Ingeniería,Reunión del Consejo de Posgrado de la Facultad de Ingeniería,./public/simbologia/8.webp,
9, Período de altas y bajas de materias del DUI, Período de altas y bajas de materias del Departamento Universitario de Inglés,./public/simbologia/9.webp,
10,Sesión ordinaria del H. Consejo Técnico Consultivo.,Sesión ordinaria del H. Consejo Técnico Consultivo.,./public/simbologia/10.webp,
11,Inicio de cursos del DUI,Inicio de cursos del Departamento Universitario de Inglés,./public/simbologia/11.webp,
12,Día inhábil,Día inhábil,./public/simbologia/12.webp,
13,Inicio de cursos de posgrado,Inicio de cursos de posgrado,./public/simbologia/13.webp,
14," Período de verificación de kárdex
"," Período de verificación de kárdex, por los alumnos de todas las carreras, a través del portal de la Facultad de ingeniería, https://estudiantes.ing.uaslp.mx/, 
en caso de requerir correcciones, enviar correo a secretaria.escolar@ing.uaslp.mx",./public/simbologia/14.webp,
15,Reunión con estudiantes de posgrado de nuevo ingreso,Reunión con estudiantes de posgrado de nuevo ingreso.,./public/simbologia/15.webp,
16, Período para pago de bajas del DFM,"Período para pago de bajas del Departamento de Físico Matemáticas. 
El pago posterior a esta fecha causará pago extemporáneo.",./public/simbologia/16.webp,
